id;rental_issue_date;rental_return_date;rental_order_status;code;customer_id
1;2021-07-21T15:28:35;2021-07-21T15:23:01;PENDING;CSS Streamlined;1
2;2021-07-22T05:34:29;2021-07-22T05:40:26;CANCELLED;Botswana;2
3;2021-07-22T02:37:13;2021-07-21T11:06:44;COMPLETED;Qatar;3
4;2021-07-22T05:14:56;2021-07-21T21:23:07;CANCELLED;Wells cutting-edge;4
5;2021-07-21T18:11:47;2021-07-21T15:31:18;CANCELLED;Expanded calculate;5
6;2021-07-22T02:44:33;2021-07-22T01:02:13;PENDING;blockchains Flat;6
7;2021-07-21T20:07:00;2021-07-21T13:26:50;PENDING;connecting out-of-the-box;7
8;2021-07-21T15:09:07;2021-07-22T00:25:36;CANCELLED;Implementation base;8
9;2021-07-21T22:40:50;2021-07-22T02:58:02;CANCELLED;Health;9
10;2021-07-22T02:53:51;2021-07-21T22:39:39;PENDING;CFA Concrete;10
